"Status (noindex,org,orgonly)",name,address,phone,website,fb_id
,Holiday Inn Select/University Cntr.,100 Lytton Ave.,(412) 682-6200,www.holidayinn.com,130664376946254
,Community of Reconcilation,100 N Bellefield Ave.,(412) 682-2751,,
,Schenley Park Visitor's Center,101 Panther Hollow Road,(412) 687-1800,http://www.pittsburghparks.org/schenleyparkcafe,205974802752877
,H & R Block,107 Atwood St.,(412) 681-2797,www.hrblock.com,
,Pittsburgh Science and Technology Academy,107 Thackery Ave.,(412) 622-5980,http://www.pps.k12.pa.us/frick/site/default.asp,
,St. Paul Cathedral Rectory,108 N. Dithridge St.,(412) 621-4951,,
,Maggie & Stella's Gifts,109 Oakland Avenue,(412) 648-1353,http://www.maggieandstellasgifts.com/,maggieandstellas
,Jazz Cuts,110 Atwood St.,(412) 561-8809,,
,Natural Choice,111 Meyran Ave.,(412) 681-7746,,
,Hocus Pocus,113 Meyran Ave.,(412) 622-0113,http://www.hocuspocus13.net/store.html,
,Pizza Sola,114 Atwood St.,(412) 681-7652,http://www.pizzasola.com/,PizzaSola
,Sweet Berry Frozen Yogurt,115 Meyran Avenue,(412) 235 7623,,140995945974331
,Hot Rod Piercing,115 Oakland Ave.,(412) 687-4320,http://www.hotrodpiercingcompany.com/,
,Lefty's Tatoo Parlor,115 Oakland Ave.,(412) 683-4802,,
,Hair Friends,116 Oakland Ave.,(412) 681-9243,,
,Peter's Pub,116 Oakland Ave.,(412) 681-7465,http://www.mypeterspub.com/,147938173556
,Crazy Mocha,116 S. Bouquet St.,(412) 621-7440,http://www.crazymocha.com/,127771128936
,Hot Tips,117 Oakland Ave.,(412) 682-3105,,
,Five Guys Burgers and Fries,117 S. Bouquet St.,(412) 781-5590,http://www.fiveguys.com/home.aspx,
,"Peace, Love and Little Donuts",118 Meyran Avenue,(412) 379-3930,http://www.peaceloveandlittledonuts.com/,168172703239295
,Oishii Bento,119 Oakland Avenue,(412) 687-3335,http://oishiibento.com/,128620450510669
,St. Agnes Roman Catholic,120 Robinson St.,(412) 682-1129,,
,St. Agnes School,120 Robinson St.,(412) 682-1129,http://www.stagnesoakland.org/site/,
,Leena's Food,121 Oakland Avenue,(412)-480-8854,,leenasfood
,University Club,123 University Pl.,(412) 621-1890,http://www.uc.pitt.edu/,
,Peter's Optical Shoppe,124 Oakland Ave.,(412) 681-8913,,
,Synod Hall,125 N. Craig St.,(412) 621-6204,www.pitt.edu,
,Szechuan Express,125 Oakland Ave.,(412) 670-0126,,
,Citizens Bank,128 N. Craig St.,(412) 621-3344,www.citizensbank.com,
,Sushi Boat,128 Oakland Ave.,(412) 681-1818,,
