name,street,lat,lng,fb_id,image_url,phone,url,description,tags,listed
Holiday Inn Select – University Center,100 Lytton Ave.,,,130664376946254,http://profile.ak.fbcdn.net/hprofile-ak-ash2/23312_130664376946254_892_s.jpg,(412) 682-6200,www.holidayinn.com,,hotel;lodging,1
Community of Reconcilation,100 N Bellefield Ave.,,,,,(412) 682-2751,,,religious;place of worship;church,1
Schenley Park Visitor's Center,101 Panther Hollow Road,,,205974802752877,http://profile.ak.fbcdn.net/hprofile-ak-snc4/187994_205974802752877_7850972_s.jpg,(412) 687-1800,http://www.pittsburghparks.org/schenleyparkcafe,,food;café;coffee,1
H & R Block,107 Atwood St.,,,,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-snc4/373031_7723400562_534767387_n.jpg,(412) 681-2797,www.hrblock.com,,accounting;finance;money;taxes,1
Pittsburgh Science and Technology Academy,107 Thackery Ave.,,,,,(412) 622-5980,http://www.pps.k12.pa.us/frick/site/default.asp,,school;education,1
St. Paul Cathedral Rectory,108 N. Dithridge St.,,,214787775231464,,(412) 621-4951,,,religious;place of worship;church,0
Maggie & Stella's Gifts,109 Oakland Avenue,,,maggieandstellas,,(412) 648-1353,http://www.maggieandstellasgifts.com/,,shopping;store;gifts,1
Jazz Cuts,110 Atwood St.,,,,MinsJazzCuts.jpg,(412) 561-8809,,,barber;salon;hair;beauty,1
Natural Choice,111 Meyran Ave.,,,,http://a4.ec-images.myspacecdn.com/profile01/135/1cd48c10acbd42eca82ef113c20fef17/p.jpg,(412) 681-7746,,We at The Natural Choice are and always will be dedicated to the process of the un-processing your beautiful natural hair. No longer are the days of conforming to the so-called established way of wearing our hair. We are now in a time when we can be proud of every god given natural strand of hair that we possess. Come and let our Natural hair specialists consult with you and show you the endless list of options that you have when going natural. Brothas & Sistas come and explore all of the possibilities of your beautiful natural hair.,hair;beauty;barber,1
Hocus Pocus,113 Meyran Ave.,,,,http://www.hocuspocus13.net/Hocus%20Pocus.jpg,(412) 622-0113,http://www.hocuspocus13.net/store.html,"Hocus Pocus offers a complete line of Esoteric supplies for the Magickal practitioners of Witchcraft, Wicca, Ceramonial Magick, Voodoo, Druidry, Shamanism, Hermetic Alchemy, Yoruban Religions, Herbalism, Aromatherapy, Astrology, Kameticism, (Egyptian) Chaos Magick, Kabbalistic studies and Left Hand Path. Our freindly, knowledgeable staff is available to assist you in answering any questions that you might have while shopping. Phone orders are warmly welcomed. Hocus Pocus is stocked with an extensive variety of Magickal Tools including; chalices, wands, athames, swords, altar pentacles, candles, herbs, oils, incense, talismans, pendulumns, scrying mirrors, bells, cauldrons, besoms, statuary, tarot decks, crystal balls, books, burners, quartz crystals, gemstones and much more.",shopping;book store;reading;magick,1
Pizza Sola,114 Atwood St.,,,PizzaSola,http://profile.ak.fbcdn.net/hprofile-ak-snc4/211087_349097652916_4529320_s.jpg,(412) 681-7652,http://www.pizzasola.com/,,food;pizza,1
Sweet Berry Frozen Yogurt,115 Meyran Avenue,,,140995945974331,http://profile.ak.fbcdn.net/hprofile-ak-snc4/195754_140995945974331_1443006_s.jpg,(412) 235 7623,,,food;ice cream,1
Hot Rod Piercing,115 Oakland Ave.,,,,http://www.hotrodpiercingcompany.com/photos/shops/oakland.jpg,(412) 687-4320,http://www.hotrodpiercingcompany.com/,Hot Rod Piercing Co. has been providing the city of Pittsburgh with the most experienced piercing staff and only the best quality body jewelry available for ten years now. We use only the most up to date methods to insure that both your piercing experience and your healing experience are successful.,Piercing,1
Hair Friends,116 Oakland Ave.,,,,,(412) 681-9243,,,hair;makeover;beauty salon,1
Peter's Pub,116 Oakland Ave.,,,147938173556,http://www.yourareacode.com/images/gdi/barimg.php?file=6b026fd5894262bc9bea049c42ea7f4e1265661543.jpg&maxwidth=500&maxheight=500,(412) 681-7465,http://www.mypeterspub.com/,,food;sandwiches;restaurant;bar;alcohol;drink;beer,1
